SampleName,Actinobacteria,Bacteroidetes,Candidatus_Saccharibacteria,Chloroflexi,Cyanobacteria,Firmicutes,Fusobacteria,Lentisphaerae,Proteobacteria,Spirochaetes,Synergistetes,Tenericutes,Unclassified_Bacteria,Verrucomicrobia
SRS022137,0.0016174447019433856,0.8775678863420999,0.0,0.0,0.0,0.1103650470779304,0.0,0.0,0.006429085069205507,0.0,0.0,0.0006549847314745575,0.0003820070845626168,0.001291943017095718
SRS022524,0.0076256877791836585,0.7058148183284013,0.0,0.0,0.0,0.2630393446204568,2.7854899112735132e-05,0.0,0.01242809184907472,4.024664165955603e-05,1.1594518670136545e-05,0.0016373085355259234,0.0007818016814985258,0.006690677253993034
SRS022609,0.0031896765483262197,0.6883623801717236,1.3722076787730808e-05,0.0,0.0,0.2744675092290232,0.0,0.00016008240228886344,0.030283628790847845,0.0,0.0,0.00041755541458652137,0.0005706232384355838,0.00018240583032488232
SRS022713,0.0006461941203476651,0.8454521649209978,1.3712293004423104e-05,0.0,0.0,0.07317506948395927,0.00010593594783177336,0.0,0.0015793722782733266,0.0,0.0,8.839905531696555e-05,7.061142285536875e-05,0.07656772060600447
SRS023176,0.0012459175824849377,0.9410820909389999,0.0,0.0,0.0,0.04804321809121918,0.00623120824303469,0.0,0.0025003803840112984,0.0,0.0,1.7583761838399502e-05,0.0,0.0
SRS023346,0.00041860026532858423,0.8577810868455003,1.427454678552507e-05,0.0,0.0,0.10367191910932085,1.8950106273625005e-05,0.0,0.030450848183335447,0.0,0.0,0.006765819932505031,2.3056161917460306e-05,1.1072554526586996e-05
SRS023526,0.006602482144607485,0.7507147863812517,0.0,0.0,0.0,0.2139168796142677,0.0,0.001667013550779684,0.02370759600622882,0.0,0.0,2.0956933202783926e-05,0.0005120079627130738,0.0011859936258788104
SRS023583,0.0008589411671158749,0.9657181344586094,0.0,0.0,0.0,0.03140135517034796,0.0,0.0,0.001030910856313464,0.0,0.0,0.0,8.799876000963135e-05,0.0
SRS023829,0.0005969369741406778,0.8921830985392756,3.088112813745299e-05,0.0,0.0,0.1007783011604639,0.0005725735980411917,0.0,0.004571038320393876,4.295374688998529e-05,1.5877645584905884e-05,0.0,0.0,0.0
SRS023914,0.008877537988135073,0.5845334512279389,0.0,1.8104140937131572e-05,0.0,0.39138454618862006,3.770907369379345e-05,0.0,0.0033427607515660383,0.0,1.785886465010353e-05,6.937762649557961e-05,0.00020350076568063853,0.009146655637377503
SRS023971,0.0012202742872551688,0.9571186595328462,0.0,0.0,0.0,0.03484548416404433,0.0,0.0,0.0058012637835565175,0.0,0.0,1.9699038747471634e-05,0.0,0.0
SRS024009,0.00018485449230878215,0.9135851708029094,0.0,0.0,0.0,0.08238598447520971,0.0,0.0,0.0015715255605815866,0.0,0.0,5.451181451658532e-05,0.00011670534152338335,0.0008605549458012324
SRS024075,0.0036974633336427022,0.8609475618428332,0.0,0.0,0.0,0.12109533891316503,0.0,0.0002859126868428665,0.0018657944211204428,0.0,0.0,0.00012012738569240523,0.0005900852391031035,0.010417524288669362
SRS024132,0.006718884243681334,0.4542777491620034,1.0185081060978903e-05,0.0,0.0,0.52171525004516,0.0,8.377114981813428e-05,0.010443134403603064,4.8095947587802556e-05,7.159150547540597e-05,2.1765273844612262e-05,0.0012214199335322288,0.003122904067029104
SRS024265,0.00011116839375772573,0.5937154795408376,0.0,0.0,0.0,0.4037717683666111,1.0769177824191552e-05,0.0,0.0005338898686660674,0.0,2.712907305708196e-05,0.0,0.00025668888686938303,0.0
SRS024331,0.0076574556451360415,0.8185161560589809,0.0,0.0,0.0,0.12178386365789175,0.0,0.0008312181763707642,0.04629234023971994,0.0,0.0,0.0,7.924004166372853e-05,0.003538122655669925
SRS024388,4.2622733538898405e-05,0.9495634364176384,0.0,0.0,0.0,0.048761202570745996,0.0,0.0,7.632264122344459e-05,0.0,0.0,5.6511134759042455e-05,2.5197821361314804e-05,0.0
SRS024435,0.0024991513432352707,0.7725452064696882,0.0,0.0,0.0,0.19299377904139142,0.0,0.00787643463254575,0.018125796155053144,2.3990294230453985e-05,0.0,2.295737023530714e-05,0.0011223721020697157,0.0025475371142407934
SRS024549,0.000191220430657021,0.8139142185004082,0.0,0.0,0.0,0.040196217100168734,0.001070052941417013,0.0,0.14139598699887793,0.0,0.0,0.0018721066455590376,0.0,0.0005573443154028286
SRS024625,0.0004195671926025425,0.9135268427479128,0.0,0.0,0.0,0.07928677376279895,0.0,0.0,0.004996948679323802,0.0,0.0,0.0,4.012920008583293e-05,0.0
