SampleName,Actinobacteria,Bacteroidetes,Candidatus_Saccharibacteria,Chloroflexi,Deinococcus-Thermus,Firmicutes,Fusobacteria,Lentisphaerae,Proteobacteria,Spirochaetes,Synergistetes,Tenericutes,Unclassified_Bacteria,Verrucomicrobia
DRR171509,0.23461610851869114,0.4035620986689986,7.332851978012148e-05,0.0,0.0,0.33014890215727155,2.8368293419936243e-05,0.0017520468745556928,0.010638049992144244,1.1793602054738515e-05,0.006330283071014125,0.0,9.893437566576356e-05,0.011074676630849545
DRR171513,0.021473260287147168,0.42652994086652013,3.372653942358807e-05,0.0,0.0,0.43999066007098564,0.0004421447090686705,0.0,0.10743728860202882,0.0,0.0,0.0,0.0024757071236554107,0.0
DRR171514,0.0258491617045355,0.551954943078496,0.0001021036196234749,0.0,0.0,0.40956301886840446,0.0,0.00048080382566992335,0.0020129112683355153,1.4496015961403806e-05,0.0,0.0,0.0003002716517902294,0.008632031953055692
DRR171515,0.02735893130997512,0.3142334691129688,2.286242180252865e-05,0.0,0.0,0.6327718417823218,0.0039373648865108244,0.00010706440692162265,0.020529295608191986,0.0,0.0,0.0,6.49612607746907e-05,0.0
DRR171517,0.04072125170257026,0.7499037558858004,0.0,0.0,0.0,0.18177648736395172,0.0,0.0,0.024212405591037062,0.0,0.0,0.0,2.8394236560853252e-05,0.002123483619375758
DRR171518,0.02084107072937636,0.7075815639375677,0.0,0.0,0.0,0.2206836188769982,0.0,0.0,0.04941542968784338,0.0,0.000635788555819504,0.0,0.0,0.0
DRR171523,0.05459774747216009,0.3054756582450526,3.1898941633982605e-05,0.0,0.0,0.5913512805898058,0.0,0.0,0.046779802880140685,0.0,0.0,0.0,0.0004196696424252761,0.0
DRR171525,0.059061572900092625,0.5606080081915757,3.994550367617331e-05,0.0,1.1689303036548066e-05,0.36667862137282276,0.0,0.0,0.012184022867028526,0.0,1.0824975950683963e-05,0.0,0.0002060919498601298,0.0
DRR171527,0.07654224538727565,0.541251546982299,4.651572122002321e-05,0.0,0.0,0.36203768246615,2.560122159368428e-05,0.0,0.01801651905810587,0.00017304000039529576,0.0,0.0,0.0006870015195706603,0.0
DRR171530,0.0027757651901419342,0.7805648051254086,0.0,0.0,0.0,0.19016917445497017,0.00020385326582278,0.0,0.02513926565162076,0.0,0.0,0.0,2.2782612130058223e-05,0.0
DRR171538,0.013117821588282825,0.6881291754594342,0.0,0.0,0.0,0.2589371810421945,0.0,0.0,0.03798155569504438,0.0,0.00022398958977169246,0.0,7.902960747866316e-05,6.881395815751322e-05
DRR171539,0.04097250232866426,0.544667617327042,2.0151247091574368e-05,0.0,0.0,0.34710745381952596,6.776468853447272e-05,0.0,0.0436707631510535,1.077538168822688e-05,0.0,0.0,0.0001018224768361381,0.021585218549500997
DRR171543,0.010291500269552464,0.7683484993229839,2.380010695275173e-05,0.0,0.0,0.21917830696137483,0.0,0.0,0.0007981064062353988,0.0,0.0,0.0,8.22086883229278e-05,0.0002797897901786751
DRR171545,0.09279152234545253,0.4256869637795699,9.48720672398208e-05,0.0,0.0,0.3591406588935247,1.1465905397095744e-05,0.02232501780362018,0.02769795648606122,3.210212532989069e-05,1.7133125534049454e-05,0.0,6.689885581036314e-05,0.07044971317746644
DRR171546,0.02816237391192936,0.727316061654231,0.0,0.0,0.0,0.19897577090004526,0.013021727422896829,0.0,0.031083635196120805,0.0,0.0,0.0,0.00031751043984195936,0.0
DRR171552,0.07184304271825662,0.45801182343404295,1.0411016538425103e-05,0.0,0.0,0.437742312481037,1.4975330660032019e-05,0.0,0.01874386086847412,0.01256888865383938,0.0,0.0,2.1734589749697305e-05,0.0
DRR171555,0.02277942389750331,0.6572221496653848,0.0,0.0,0.0,0.2765046003649645,0.0,0.0,0.04246904066544419,2.6463053470930663e-05,0.0,0.0,0.0,0.0
DRR171560,0.005433843644111611,0.5886221651650616,2.0133078807658162e-05,0.0,0.0,0.19866907946191795,0.0,0.0,0.20622636693495747,0.0,0.0,0.0,2.0077736211928353e-05,0.0
DRR171563,0.11433727739320612,0.41094839142254475,2.540787790686495e-05,0.0,0.0,0.4239659449934732,0.00034457057424697364,0.0,0.04816949642123319,0.0,0.0,0.0,0.0005756928370806961,0.0
DRR171567,0.006182688846321572,0.5595549559622035,1.1508531639739184e-05,0.0,0.0,0.4266225107719958,0.0,0.0,0.005315875459617988,0.0,0.0,0.0,0.0008881687322145088,0.0
DRR171568,0.020696521488309166,0.6086106853045423,0.0,0.0,0.0,0.3540684074188883,0.0,4.77688329545853e-05,0.01431236709058644,0.00010954475011240147,0.00022622481845885827,0.0,0.00024758153480017374,1.1218257761141922e-05
DRR171569,0.0979204788433219,0.4274820066522745,1.7380405861315438e-05,0.0,0.0,0.45368741606491125,2.028572231391797e-05,0.0,0.01596951000622574,0.0,0.0,0.0,6.696842322376963e-05,0.0036766695108313777
DRR171571,0.0015878007205545799,0.7411931904863207,1.4981051590105246e-05,0.0,0.0,0.19365849978512445,0.0,0.0,0.012514695668005704,2.093625436322581e-05,0.0,0.0,0.00019187981037313602,0.04972218991664139
DRR171572,0.06958398111121282,0.4537395785074008,2.9457678987545912e-05,0.0,0.0,0.44413297634066323,0.0,2.1209360664828233e-05,0.024980576172112124,3.163595663197705e-05,6.550262551124256e-05,0.0,0.0016047921525952306,0.0037056622389777293
