SampleName,Actinobacteria,Aquificae,Bacteroidetes,Candidatus_Saccharibacteria,Chlorobi,Chloroflexi,Cyanobacteria,Deinococcus-Thermus,Dictyoglomi,Elusimicrobia,Firmicutes,Fusobacteria,Lentisphaerae,Planctomycetes,Proteobacteria,Spirochaetes,Synergistetes,Tenericutes,Thermotogae,Unclassified_Bacteria,Verrucomicrobia
ERR011160,0.005833086767241871,0.0,0.23376864858642082,1.5211552489244422e-05,0.0,1.2241595779645489e-05,0.0,0.0,0.0,0.0,0.7486610415918887,7.564652710371223e-05,7.229559764843409e-05,0.0,0.004637399799632912,4.5781167478002916e-05,1.1136902568785054e-05,0.00033213422147089895,0.0,0.0016130034776705184,0.001140627347190851
ERR011162,0.0015462072304205999,0.0,0.6770919516208118,3.5529987301079214e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.3142572696836511,3.041396206558047e-05,0.0,0.0,0.002983915042627334,0.0,0.0,2.7997808205737784e-05,0.0,0.0015602365813227998,0.00021833744485853446
ERR011164,0.002357863867302165,0.0,0.3557865734152076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6277595593104047,0.0002036677997859683,0.0,0.0,0.008574159053556709,0.00016344533287956275,0.0,0.00028002408812036027,1.2953539186554753e-05,0.001946439199439221,2.226628851867123e-05
ERR011168,0.009262914976206271,0.0,0.38354998935283124,5.129174594212901e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.5667637342498547,1.2041393737939227e-05,0.0,0.0,0.0075492855363958,2.8825114242321392e-05,0.0,0.0005617416410510979,0.0,0.006109713337773424,0.022296163331188397
ERR011173,0.001136748506756373,0.0,0.43341761842508936,0.0,0.0,0.0,1.0718832403888424e-05,0.0,0.0,0.0,0.5327982420316542,0.0,0.0,0.0,0.011380047531719993,0.0002270691513814048,0.0,1.3271967587022971e-05,0.0,0.0012892401135973456,0.0182069034377942
ERR011177,0.0007876389468134861,0.0,0.5331815917073275,2.8745765241626007e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.4550685515096363,1.150580723081035e-05,2.731482050356142e-05,0.0,0.001609849198947406,2.2382902920623496e-05,0.0,5.2332699212995554e-05,0.0,0.007078810926493887,0.0005094825391541627
ERR011178,0.005384157028921577,0.0,0.5423882809871816,6.6064629640542e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.43580599803366593,4.895392711064022e-05,0.0,0.0,0.009022260847650673,0.0,3.683773126857958e-05,0.0005927925289135495,0.0,0.00045870458188323066,0.002642309018471273
ERR011179,0.00110543806821453,0.0,0.4027663614048212,4.890093164345057e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.5859129785965792,0.00033546123738503806,0.0,0.0,0.004837562517630249,3.7392365083089794e-05,0.0,0.0004955936372183643,0.0,0.0011725786068148393,0.0007537163693291859
ERR011180,0.023281667821459642,0.0,0.4885102470877056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4753969531371332,0.0,0.0,0.0,0.008323046217473647,0.0,0.0,0.0,0.0,0.0016803874986472983,0.0005189288949857585
ERR011181,0.004029800283384249,0.0,0.5088476982869116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4808555222630332,0.0,0.0,0.0,0.0025384607543397,0.0,0.0,0.0,0.0,0.0016461946676518033,0.00017512932234258434
ERR011183,0.00298857179413018,0.0,0.4752814993913544,1.3356128374827879e-05,0.0,1.8851881880764638e-05,0.0,0.0,0.0,0.0,0.5061781259526357,0.00018927779309766492,0.0,0.0,0.007754974442613649,0.0002006876585850898,0.0,0.00032765141999054683,0.0,0.002467749578499766,0.0021801271199465193
ERR011184,0.002149791041286017,0.0,0.5617987328173643,0.00010780280486771066,0.0,0.0,0.0,0.0,0.0,0.0,0.40842535818084585,0.0004458030902214984,0.0,0.0,0.01275305864401108,0.0001613746196753069,0.0,0.00011584095610002298,0.0,0.005872369544979525,0.005293202928921033
ERR011185,0.000846903017937276,0.0,0.5969695378347034,8.192863355167509e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.3825385646004093,0.00026210267950060444,0.0,1.0430315835026123e-05,0.01026571493223365,0.00010813968116436234,0.0,0.0002574601396834895,0.0,0.0040786588517390705,0.0024357181602315033
ERR011186,0.0026179930968207943,0.0,0.3383388615463865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6499900860013836,2.280624279931593e-05,0.0003518644416321537,0.0,0.004135696162726371,0.0,0.0,0.0001592735604038689,0.0,0.0024337458186052736,3.9154911351350124e-05
ERR011187,0.0007472751048381257,0.0,0.3151166382402264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6774687368932584,0.0,2.329026157937399e-05,1.083883602194529e-05,0.002187071910456053,1.2358410926739287e-05,0.0,0.00013374670249359627,0.0,0.002901122980347777,2.491638402181361e-05
ERR011188,0.0009986443260762733,0.0,0.3716868577660508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6138400696824525,1.113293866216286e-05,0.0,0.0,0.008880159071633512,3.2820898654609997e-05,0.0,0.0,0.0,0.002538612908218581,0.0004669403569967504
ERR011190,0.0017713580451327784,0.0,0.4465477445577072,1.665019122565318e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.530976107288376,1.0900792789065813e-05,7.04568723859742e-05,0.0,0.006953042659210438,2.5095442620825425e-05,0.0,0.0,0.0,0.011728057296874213,0.0003342233219894107
ERR011191,0.0012084672195021465,0.0,0.4680265227515166,6.162793664218936e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.5196921307603661,0.0,3.725493458101036e-05,0.0,0.004251323260811059,0.0,0.0,0.0,0.0,0.005136206090887612,0.0001913285589264354
ERR011192,0.006600544997172118,0.0,0.6080337469853886,3.646851288062319e-05,0.0,0.0,0.0,0.0,0.0,0.0012265775351497279,0.3760480712664372,0.0,5.2162342577307484e-05,0.0,0.004456047147508412,0.0,0.0,6.406308977140626e-05,0.0,5.7344782105885825e-05,0.0
ERR011193,0.001091102517968984,0.0,0.5704172761340628,7.418025056076583e-05,0.0,0.0,0.0,0.0,0.0,0.00027434697328048,0.4250499093804132,0.0,0.0,0.0,0.0011332792044445462,4.017776044836748e-05,0.0,4.024311511346414e-05,0.0,5.809069103145096e-05,0.0
ERR011195,0.0023836496167650143,0.0,0.5659641473499842,2.4377210641171688e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.4181279906359691,1.5765984934620244e-05,0.00013808425742885448,1.3988363958646985e-05,0.002146791856894018,9.278101563488144e-05,5.965613683093696e-05,0.00029458608699961904,0.0,0.004928802391192808,0.0037940024721571774
ERR011196,0.005018494983553224,0.0,0.6356633823394636,1.3558809231329962e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.3422957473447833,2.33885386823599e-05,0.0,0.0,0.015517603401676069,0.0,0.0,0.0,0.0,1.5541666116708473e-05,0.0
ERR011197,0.003441511564642682,0.0,0.6437897797340001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34937719237782533,2.421382446854719e-05,0.0,0.0,0.002436882257593505,1.160553013743897e-05,0.0,0.0,0.0,3.134063078977088e-05,0.0
ERR011198,0.003880223569382041,0.0,0.33921438074816745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6436124819719203,8.987875987608764e-05,0.0003732164980634976,0.0,0.002980469359945785,1.0636121204873864e-05,2.074699299018865e-05,1.976958594558978e-05,0.0,0.0008731365505050186,0.006017603163914587
ERR011199,0.0012540558421133496,0.0,0.3150965354692421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6755240247859775,6.383622853362828e-05,0.00013290855483880817,0.0,0.0020088767663633566,1.299016738209966e-05,1.5156924062979327e-05,5.1999405571851346e-05,0.0,0.0005839034134791737,0.003139403265183977
ERR011200,0.0008403596144080408,0.0,0.36688829833301373,1.7555765307966014e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.6200819517044374,0.00013993445674715283,5.5308155763233156e-05,0.0,0.0046339290316923815,0.00012602573740017948,1.0651651967934347e-05,0.00015848437834473463,0.0,0.005206582812436213,0.00010812155617269955
ERR011201,0.0004862787188788949,0.0,0.38726606823786425,3.713266801781173e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.6074178109112832,0.0,1.2074123381007684e-05,0.0,0.0024170609219055427,0.00014160622207173338,0.0,1.306888076774618e-05,0.0,0.0007786019549083582,4.15373578913643e-05
ERR011202,0.005373473127238177,0.0,0.37794641553676034,5.716665362076409e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.5705788005044584,0.0,0.0004709803577421963,0.0,0.04051431948027649,1.5685896883335486e-05,4.311958680932836e-05,3.873577597838975e-05,0.0,0.0013507547811094488,0.0
ERR011203,0.0019190628235286745,0.0,0.3136401521317472,7.439145766909052e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.6743800705015474,0.0,1.9878522255559374e-05,0.0,0.006431314775007721,2.607190253660269e-05,0.0,3.631235507619394e-05,0.0,0.0010271570011969073,0.0
ERR011204,0.025770329840724072,0.0,0.36713116303741744,2.107614113277623e-05,0.0,0.0,0.0,1.356857927713274e-05,0.0,0.0,0.5898803769478311,0.00022600108264362735,0.00012982671085829802,0.0,0.011785150130205523,0.0,1.3465057172084606e-05,0.00012290000001074513,0.0,0.0006207182705160683,0.0
ERR011206,0.009332652590076184,0.0,0.37042060740402966,7.010551919936305e-05,0.0,0.0,0.0,1.0991432759653024e-05,0.0,0.0,0.5096211037622056,4.68602506908867e-05,0.003439415965518363,0.0,0.0299074695877097,0.00019113650709562345,4.1554985693965674e-05,0.0011406302321556078,0.0,0.0004225434831955197,0.07135751828429254
ERR011207,0.0039571878864075065,0.0,0.4068743483829203,1.5105064164142954e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.5289311012749269,0.0001511492118274648,0.0014255465395725435,1.9185889397107367e-05,0.01763672834518406,0.0002638690913656103,0.0,0.0016671397425118625,0.0,0.00040914022223934233,0.035833357487822584
ERR011208,0.004691400088257207,0.0,0.5214246949947433,3.590901425984302e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.44739005804630205,0.0,9.664342482459421e-05,0.0,0.016395684078723036,6.958229886890398e-05,0.0,2.257935339906553e-05,0.0,0.007108998069848454,0.0
ERR011210,0.00300044869287854,0.0,0.3609361872850102,3.830881448142383e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.6134392264359709,2.4221958648131168e-05,0.00014799479187168642,0.0,0.011261423701564272,5.261772876923561e-05,0.0,0.00014919728159254957,0.0,0.007747395188235706,6.967028297668389e-05
ERR011211,0.002550099792177685,0.0,0.39095185630582235,2.1237851668562127e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.5783747691590198,1.1537048588408233e-05,3.2515858452878996e-05,0.0,0.01247143689934858,7.897530016444385e-05,0.0,0.0003902817462496707,0.0,0.012901840926427327,3.930557399143151e-05
ERR011212,0.0023595346792418194,0.0,0.6811964228709283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2919424729880468,0.0,0.0004741560957947412,0.0,0.02182891064829985,0.0,0.0,0.0,0.0,8.847230570318221e-05,0.0004082297175847549
ERR011214,0.0021788595958047168,0.0,0.4354113859493156,4.191976020007635e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.5299436653083107,1.3079888950364842e-05,0.00026121994567465933,0.0,0.013805911316361451,3.227476563244799e-05,0.0,4.0559934350883165e-05,0.0,0.011089520840764092,0.004309586091349267
ERR011216,0.002592568554627783,0.0,0.3145578642390729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6485246057408459,5.585919908282063e-05,0.0003844061901916935,0.0,0.007337377822151169,3.7146999352262726e-05,0.0,6.548909442275028e-05,0.0,0.018357827282676868,0.0054893294966152275
ERR011217,0.010928994607600079,0.0,0.37503541601738044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.579581360037439,1.544112509539698e-05,0.0009653842385321801,0.0,0.014523401817436174,1.5383906659832266e-05,0.0,1.2020035956035985e-05,0.0,0.004693903993029358,0.01160392355550328
ERR011218,0.006389083635183283,0.0,0.30555340456396846,7.292224428035222e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.5758333685391307,0.0,0.00012173667475497107,0.0,0.003305309406366836,0.00018812093232739864,0.00018498910877396833,0.0001363937170032313,0.0,0.0003779845944122693,0.10381944053665533
ERR011219,0.0027721858473605723,0.0,0.3447914502228729,8.637839616501454e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.5893144866113803,0.0,4.678447580690656e-05,0.0,0.0018849242594015136,0.0001819103116823605,7.825112056086796e-05,0.00035260604827095445,0.0,0.00041205369878472047,0.0571074055361951
ERR011220,0.0006872689016992389,0.0,0.7115448297187686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2736653158999146,0.0001300795555003547,0.0,0.0,0.011201044251594907,5.768808218560434e-05,1.878146278270221e-05,0.0,0.0,0.0004267685526273688,0.0
ERR011221,8.921476480775554e-05,0.0,0.704111304793959,3.240949180168064e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.2820833969555118,0.0005343549548074563,0.0,0.0,0.010417162394852174,0.00011044649806079971,0.0,0.0,0.0,0.001229724773939845,0.0
ERR011222,0.013195621751301175,0.0,0.33993990085536135,4.95883128023942e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.616195752071282,0.006486741669961277,4.074598844326676e-05,0.0,0.016636155233296562,0.00020805977541476443,0.0,7.272589075549159e-05,0.0,0.005070689784661585,0.0
ERR011223,0.017042666139080242,0.0,0.3711984932242042,4.8867957456228e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.5832697022816589,0.0053346589045445755,3.2344006058973467e-05,0.0,0.01664518475953012,0.00023926893453874636,0.0,2.2265304491518846e-05,0.0,0.004127059996628727,0.0
ERR011224,0.005710235918264874,0.0,0.5004110680885419,2.275004411426113e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.4805853926065903,3.433856039210762e-05,0.000103486374817099,0.0,0.0011136477565514293,0.0010104489141403074,1.024972936326755e-05,6.33087320497824e-05,0.0,0.00828623151821825,1.92763753916634e-05
ERR011226,0.0021362133562512577,0.0,0.6458660857865023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3378951486708097,4.974738016470237e-05,0.0,0.0,0.005523065090922253,0.0,0.0,3.535364821365201e-05,0.0,0.0030692833756086352,0.0029643067695530392
